sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,binding_scope,value_name,value_role,value_source,default_value,unit_ref_rule,decimals
0,0,,D,,contextRef,Identifier,1..1,,Default XBRL context reference.,xbrl-gl,Document,DOC-CONTEXT,,,Default XBRL context reference. May be overridden at runtime.,,,,document,contextRef,context,runtime_parameter,now,none,
0,0,,D,,xbrlRoot,,1..1,,XBRL instance document root.,xbrl-gl,Document,DOC-ROOT,,,XBRL instance root element.,,xbrli:xbrl,/xbrli:xbrl,document,xbrlRoot,document_root,xbrl_instance,,none,
1,0,0,C,,Invoice,,1..1,,EN 16931 invoice semantic root.,en16931,Invoice,BG-ROOT,$.invoice,Invoice,Semantic parent group for ADS XBRL GL binding.,Invoice,gl-cor:accountingEntries,/xbrli:xbrl/gl-cor:accountingEntries,container,Invoice,semantic_group,structured_csv_group,,none,
2,1,1,A,,Invoice Number,Identifier,1..1,,An invoice shall have an invoice number.,en16931,Invoice,BT-1,$.invoice.invoiceNumber,Invoice_ID,"Unique identifier for each invoice. This ID may need to be created by concatenating fields such as document number, document type, and year to uniquely identify each transaction. The same ID must be used for all tables with invoice data.",InvoiceNumber,gl-cor:documentReference,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentReference,fact,Invoice_ID,xbrl_fact,structured_csv_column,,none,
2,1,1,A,,Invoice Number,Identifier,1..1,,An invoice shall have an invoice number.,en16931,Invoice,BT-1,$.invoice.invoiceNumber,Invoice_Number,Identification number for an externally generated invoice.,InvoiceNumber,gl-cor:documentNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentNumber,fact,Invoice_Number,xbrl_fact,structured_csv_column,,none,
3,1,1,A,,Invoice Issue Date,Date,1..1,,The date when the invoice was issued.,en16931,Invoice,BT-2,$.invoice.invoiceIssueDate,Invoice_Date,"The date of the invoice, regardless of the date the invoice is entered. This is the date from which the due date is calculated based on the invoice terms.",InvoiceIssueDate,gl-cor:documentDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentDate,fact,Invoice_Date,xbrl_fact,structured_csv_column,,none,
3,1,1,A,,Invoice Issue Date,Date,1..1,,The date when the invoice was issued.,en16931,Invoice,BT-2,$.invoice.invoiceIssueDate,Invoice_Fiscal_Year,Fiscal year in which the Invoice_Date occurs.,InvoiceIssueDate,gl-bus:fiscalYearEnd,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:fiscalYearEnd,fact,Invoice_Fiscal_Year,xbrl_fact,structured_csv_column,,none,
3,1,1,A,,Invoice Issue Date,Date,1..1,,The date when the invoice was issued.,en16931,Invoice,BT-2,$.invoice.invoiceIssueDate,Invoice_Period,Fiscal period in which the Invoice_Date occurs.,InvoiceIssueDate,gl-bus:postingCode,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:postingCode,fact,Invoice_Period,xbrl_fact,structured_csv_column,,none,
5,1,1,D,,documentCurrency,Code,1..1,,Default XBRL unit for invoice monetary facts.,xbrl-gl,Document,DOC-CURRENCY,$.invoice.documentCurrencyCode,Document currency code,Currency used as the default unit for invoice monetary facts.,DocumentCurrencyCode,,,document,DocumentCurrencyCode,unit,structured_csv_column,,DocumentCurrencyCode,
5,1,1,A,,Document Currency Code,Code,1..1,,"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.",en16931,Invoice,BT-5,$.invoice.documentCurrencyCode,Invoice_Amount_Currency,The functional or group currency related to the invoice amount. See ISO 4217 coding.,DocumentCurrencyCode,gl-muc:amountCurrency,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-muc:amountCurrency,fact,Invoice_Amount_Currency,xbrl_fact,structured_csv_column,,none,
6,1,1,D,,taxAccountingCurrency,Code,0..1,,XBRL unit for VAT accounting currency facts.,xbrl-gl,Document,DOC-TAX-CURRENCY,$.invoice.taxAccountingCurrencyCode,VAT accounting currency code,Currency used for VAT accounting currency facts when such facts are bound.,TaxAccountingCurrencyCode,,,document,TaxAccountingCurrencyCode,unit,structured_csv_column,,TaxAccountingCurrencyCode,
9,1,1,A,,Payment Due Date,Date,0..1,,The date when the payment is due.,en16931,Invoice,BT-9,$.invoice.paymentDueDate,Invoice_Due_Date,The date payment is due to the supplier. Not all transactions will have a due date. Aging of a payable is usually calculated based on this date.,PaymentDueDate,gl-cor:maturityDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:maturityDate,fact,Invoice_Due_Date,xbrl_fact,structured_csv_column,,none,
13,1,1,A,,Purchase Order Reference,Identifier,0..1,,"An identifier of a referenced purchase order, issued by the Buyer.",en16931,Invoice,BT-13,$.invoice.purchaseOrderReference,Purchase_Order_ID,"Unique identifier for each purchase order. Must match Purchase_Order_ID in the Purchase_Orders file. If no purchase order, leave blank.",PurchaseOrderReference,gl-taf:originatingDocumentNumber,"/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-taf:originatingDocumentStructure[gl-taf:originatingDocumentType=""order-vendor""]/gl-taf:originatingDocumentNumber",fact,Purchase_Order_ID,xbrl_fact,structured_csv_column,,none,
20,1,1,A,,Payment Terms,Text,0..1,,A textual description of the payment terms that apply to the amount due for payment.,en16931,Invoice,BT-20,$.invoice.paymentTerms,Terms_Discount_Percentage,The discount percentage the supplier may provide if an invoice is paid before a certain number of days.,PaymentTerms,gl-cor:terms,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:terms,fact,Terms_Discount_Percentage,xbrl_fact,structured_csv_column,,none,
30,1,1,C,,Seller,,1..1,,A group of business terms providing information about the Seller. The full formal name by which the,en16931,Seller,BG-4,$.invoice.seller,Seller,Semantic parent group for ADS XBRL GL binding.,Seller,"gl-cor:identifierReference[gl-cor:identifierType=""V""]","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""V""]",container,Seller,semantic_group,structured_csv_group,,none,
31,2,1,A,,Seller Name,Text,1..1,,The full formal name by which the Seller is registered.,en16931,Seller,BT-27,$.invoice.seller.sellerName,Supplier_Name,Name of the supplier.,SellerName,gl-cor:identifierDescription,"/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""V""]/gl-cor:identifierDescription",fact,Supplier_Name,xbrl_fact,structured_csv_column,,none,
