source_sequence,source_module,source_level,source_type,source_identifier,source_name,source_datatype,source_multiplicity,source_definition,source_semantic_path,source_class_term,target_sequence,target_module,target_level,target_type,target_identifier,target_name,target_datatype,target_multiplicity,target_definition,target_semantic_path,target_class_term,transformation,mapping_status,confidence,reason_codes,review_note
1,en16931,1,C,,Invoice,,1..1,"Project-defined Invoice in the Invoice context, represented as structured information.",$.invoice,Invoice,1,btx,1,C,,Business Transactions,,1..*,"Economic event represented by one or more business documents and corresponding accounting entries, such as orders, shipments, invoices, and journal entries.",$.btx_BusinessTransactions,Business Transactions,identity,STRUCTURAL,,,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
2,en16931,2,A,,Invoice number,Identifier,1..1,"Project-defined Invoice number in the Invoice context, represented as Identifier.",$.invoice.invoiceNumber,Invoice,152,btx,3,A,,Header Document Number,String,0..1,"Invoice, check, voucher, or other source document identifier",$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderDocumentNumber,Transaction_ Header,identity,EXACT,HIGH,,
3,en16931,2,A,,Invoice issue date,Date,1..1,"Project-defined Invoice issue date in the Invoice context, represented as Date.",$.invoice.invoiceIssueDate,Invoice,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,477-row HMD and current FSM/BSM/reviewed-LHM were searched; similar fields have different document/context semantics. Original blocker=B5_SEMANTIC_GAP. Alternative candidates (not approved): 134:$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod.bus_PeriodStartDate (Period Start Date); 8:$.btx_BusinessTransactions.btx_DocumentInformation.cor_CreationDate (Creation Date); 160:$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument.btx_ReceivedDate (Received Date)
4,en16931,2,A,,Invoice type code,Code,1..1,"Project-defined Invoice type code in the Invoice context, represented as Code.",$.invoice.invoiceTypeCode,Invoice,151,btx,3,A,,Header Invoice Type,Token,0..1,"Invoice Type  (self-billed, ePoS enumerated values)",$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderInvoiceType,Transaction_ Header,identity,EXACT,HIGH,,
5,en16931,2,A,,Document currency code,Code,1..1,"Project-defined Document currency code in the Invoice context, represented as Code.",$.invoice.documentCurrencyCode,Invoice,255,btx,4,A,,Currency Code,Token,0..1,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure.btx_CurrencyCode,Header_ Amount Structure,,REVIEW_REQUIRED,LOW,R_TARGET_CANDIDATE_WEAK | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH,"v10 current-taxonomy re-review: Not executable because R_TARGET_CANDIDATE_WEAK, R_MULTIPLICITY_REVIEW. Current selector evidence: no equality selector. No mapping is inferred."
6,en16931,2,A,,Tax accounting currency code,Code,0..1,"Project-defined Tax accounting currency code in the Invoice context, represented as Code.",$.invoice.taxAccountingCurrencyCode,Invoice,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
7,en16931,2,A,,Value added tax point date,Date,0..1,"Project-defined Value added tax point date in the Invoice context, represented as Date.",$.invoice.valueAddedTaxPointDate,Invoice,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,477-row HMD and current FSM/BSM/reviewed-LHM were searched; similar fields have different document/context semantics. Original blocker=B5_SEMANTIC_GAP. Alternative candidates (not approved): 238:$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxPercentageRate (Tax Percentage Rate); 420:$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailTax.btx_TaxPercentageRate (Tax Percentage Rate); 243:$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxExchangeRateDate (Tax Exchange Rate Date)
8,en16931,2,A,,Value added tax point date code,Code,0..1,"Project-defined Value added tax point date code in the Invoice context, represented as Code.",$.invoice.valueAddedTaxPointDateCode,Invoice,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,477-row HMD and current FSM/BSM/reviewed-LHM were searched; similar fields have different document/context semantics. Original blocker=B5_SEMANTIC_GAP. Alternative candidates (not approved): 439:$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailTax.btx_TaxExemptionReasonCode (Tax Exemption Reason Code); 234:$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxTableCode (Tax Table Code); 416:$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailTax.btx_TaxTableCode (Tax Table Code)
9,en16931,2,A,,Payment due date,Date,0..1,"Project-defined Payment due date in the Invoice context, represented as Date.",$.invoice.paymentDueDate,Invoice,176,btx,3,A,,Header Maturity Date or Date Due,Date Time,0..1,Due date or other maturity date.,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderMaturityDateorDateDue,Transaction_ Header,date_to_midnight,TRANSFORM,HIGH,,
10,en16931,2,A,,Buyer reference,Text,0..1,"Project-defined Buyer reference in the Invoice context, represented as Text.",$.invoice.buyerReference,Invoice,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
