sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
1,0000,1,1,C,,Invoice,,1..1,,EN 16931 invoice semantic root.,en16931,Invoice,BG-ROOT,$.invoice,,,Invoice,rsm:CrossIndustryInvoice,/rsm:CrossIndustryInvoice,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
2,0000.0002.0001,2,2,A,,Invoice number,Identifier,1..1,,An invoice shall have an invoice number.,en16931,Invoice,BT-1,$.invoice.invoiceNumber,,,InvoiceNumber,ram:ID,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:ID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
3,0000.0002.0003.0001,2,2,A,,Invoice issue date,Date,1..1,,The date when the invoice was issued.,en16931,Invoice,BT-2,$.invoice.invoiceIssueDate,,,InvoiceIssueDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString,,CII_DATE_102,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Date uses format 102.
4,0000.0002.0002,2,2,A,,Invoice type code,Code,1..1,,Code specifying the functional type of invoice.,en16931,Invoice,BT-3,$.invoice.invoiceTypeCode,,,InvoiceTypeCode,ram:TypeCode,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:TypeCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
5,0000.0003.0004.0004,2,2,A,,Document currency code,Code,1..1,,"The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.",en16931,Invoice,BT-5,$.invoice.documentCurrencyCode,,,DocumentCurrencyCode,ram:InvoiceCurrencyCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceCurrencyCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
6,0000.0003.0004.0003,2,2,A,,Tax accounting currency code,Code,0..1,,The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.,en16931,Invoice,BT-6,$.invoice.taxAccountingCurrencyCode,,,TaxAccountingCurrencyCode,ram:TaxCurrencyCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:TaxCurrencyCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
7,0000.0003.0004.0007.0007.0001,2,2,A,,Value added tax point date,Date,0..1,,"The date when the VAT becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the VAT directive.",en16931,Invoice,BT-7,$.invoice.valueAddedTaxPointDate,,,ValueAddedTaxPointDate,udt:DateString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax/ram:TaxPointDate/udt:DateString,,CII_DATE_102,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Date uses format 102.
8,0000.0003.0004.0007.0008,2,2,A,,Value added tax point date code,Code,0..1,,The code of the date when the VAT becomes accountable for the Seller and for the Buyer.,en16931,Invoice,BT-8,$.invoice.valueAddedTaxPointDateCode,,,ValueAddedTaxPointDateCode,ram:DueDateTypeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax/ram:DueDateTypeCode,,UNCL2005_TO_UNCL2475,false,CEN Table 1: BT-8 2005→2475 code mapping.
9,0000.0003.0004.0010.0002.0001,2,2,A,,Payment due date,Date,0..1,,The date when the payment is due.,en16931,Invoice,BT-9,$.invoice.paymentDueDate,,,PaymentDueDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:DueDateDateTime/udt:DateTimeString,,CII_DATE_102,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Date uses format 102.
10,0000.0003.0002.0001,2,2,A,,Buyer reference,Text,0..1,,An identifier assigned by the Buyer used for internal routing purposes.,en16931,Invoice,BT-10,$.invoice.buyerReference,,,BuyerReference,ram:BuyerReference,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerReference,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
11,0000.0003.0002.0009.0001,2,2,A,,Project reference,Identifier,0..1,,The identification of the project the invoice refers to,en16931,Invoice,BT-11,$.invoice.projectReference,,,ProjectReference,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SpecifiedProcuringProject[ram:Name='Project reference']/ram:ID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
12,0000.0003.0002.0007.0001,2,2,A,,Contract reference,Identifier,0..1,,The identification of a contract.,en16931,Invoice,BT-12,$.invoice.contractReference,,,ContractReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:ContractReferencedDocument/ram:IssuerAssignedID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
13,0000.0003.0002.0006.0001,2,2,A,,Purchase order reference,Identifier,0..1,,"An identifier of a referenced purchase order, issued by the Buyer.",en16931,Invoice,BT-13,$.invoice.purchaseOrderReference,,,PurchaseOrderReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerOrderReferencedDocument/ram:IssuerAssignedID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
